id,origin,obs_date,sps_comm,sps,reg_id,taxon,author,lon,lat,region_long,region,status (native/alien/IAS),comments
242374249,ObsMapp,2022-05-21,Overblijvende ossentong,Pentaglottis sempervirens,191,Plantae,,2.57303381,51.08911514,Belgium,Belgium,alien,
242365719,ObsMapp,2022-05-21,Overblijvende ossentong,Pentaglottis sempervirens,192,Plantae,,2.573167324,51.08922577,Belgium,Belgium,alien,
242374248,ObsMapp,2022-05-21,Overblijvende ossentong,Pentaglottis sempervirens,193,Plantae,,2.572992802,51.08909607,Belgium,Belgium,alien,
242374256,ObsMapp,2022-05-21,Overblijvende ossentong,Pentaglottis sempervirens,194,Plantae,,2.573519707,51.089286800000004,Belgium,Belgium,alien,
242374253,ObsMapp,2022-05-21,Overblijvende ossentong,Pentaglottis sempervirens,195,Plantae,,2.573215961,51.08919907,Belgium,Belgium,alien,
242374251,ObsMapp,2022-05-21,Overblijvende ossentong,Pentaglottis sempervirens,196,Plantae,,2.573215961,51.08919907,Belgium,Belgium,alien,
242365744,ObsMapp,2022-05-21,Overblijvende ossentong,Pentaglottis sempervirens,197,Plantae,,2.572716951,51.09009171,Belgium,Belgium,alien,
242405088,ObsMapp,2022-05-21,Overblijvende ossentong,Pentaglottis sempervirens,198,Plantae,,2.573129892,51.09093094,Belgium,Belgium,alien,
242321972,ObsMapp,2022-05-21,Witte abeel,Populus alba,199,Plantae,,2.562175989,51.07779694,Belgium,Belgium,alien,
242321945,ObsMapp,2022-05-21,Witte abeel,Populus alba,200,Plantae,,2.555742741,51.07613754,Belgium,Belgium,alien,
242321946,ObsMapp,2022-05-21,Witte abeel,Populus alba,201,Plantae,,2.555730581,51.07612228,Belgium,Belgium,alien,
242328827,ObsMapp,2022-05-21,Witte abeel,Populus alba,202,Plantae,,2.561084509,51.07746506,Belgium,Belgium,alien,
242321947,ObsMapp,2022-05-21,Witte abeel,Populus alba,203,Plantae,,2.555697918,51.0760994,Belgium,Belgium,alien,
242321948,ObsMapp,2022-05-21,Witte abeel,Populus alba,204,Plantae,,2.555697918,51.0760994,Belgium,Belgium,alien,
242321951,ObsMapp,2022-05-21,Witte abeel,Populus alba,205,Plantae,,2.555694342,51.07609177,Belgium,Belgium,alien,
242321952,ObsMapp,2022-05-21,Witte abeel,Populus alba,206,Plantae,,2.5557127,51.07606888,Belgium,Belgium,alien,
242321944,ObsMapp,2022-05-21,Witte abeel,Populus alba,207,Plantae,,2.555780888,51.07612991,Belgium,Belgium,alien,
242321973,ObsMapp,2022-05-21,Witte abeel,Populus alba,208,Plantae,,2.562697172,51.07784653,Belgium,Belgium,alien,
242318564,ObsIdentify,2022-05-21,Witte abeel,Populus alba,209,Plantae,,2.56273667,51.07778617,Belgium,Belgium,alien,
242321818,ObsMapp,2022-05-21,Witte abeel,Populus alba,210,Plantae,,2.562200308,51.07774734,Belgium,Belgium,alien,
242321953,ObsMapp,2022-05-21,Witte abeel,Populus alba,211,Plantae,,2.555734158,51.07604599,Belgium,Belgium,alien,
242321941,ObsMapp,2022-05-21,Witte abeel,Populus alba,212,Plantae,,2.555835724,51.07615662,Belgium,Belgium,alien,
242321942,ObsMapp,2022-05-21,Witte abeel,Populus alba,213,Plantae,,2.55582571,51.07614517,Belgium,Belgium,alien,
242405092,ObsMapp,2022-05-21,Witte abeel,Populus alba,214,Plantae,,2.573120117,51.09107971,Belgium,Belgium,alien,
242321943,ObsMapp,2022-05-21,Witte abeel,Populus alba,215,Plantae,,2.555792093,51.07612991,Belgium,Belgium,alien,
242321814,ObsMapp,2022-05-21,Witte abeel,Populus alba,216,Plantae,,2.562144041,51.07773972,Belgium,Belgium,alien,
242321815,ObsMapp,2022-05-21,Witte abeel,Populus alba,217,Plantae,,2.562187672,51.07775497,Belgium,Belgium,alien,
242321816,ObsMapp,2022-05-21,Witte abeel,Populus alba,218,Plantae,,2.562189579,51.07775116,Belgium,Belgium,alien,
242321817,ObsMapp,2022-05-21,Witte abeel,Populus alba,219,Plantae,,2.562193871,51.07774353,Belgium,Belgium,alien,
242365040,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,220,Plantae,,2.57226181,51.09041214,Belgium,Belgium,IAS,
242405060,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,221,Plantae,,2.573263407,51.09020615,Belgium,Belgium,IAS,
242405053,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,222,Plantae,,2.573245764,51.08974075,Belgium,Belgium,IAS,
242405071,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,224,Plantae,,2.572968006,51.09031677,Belgium,Belgium,IAS,
242319934,ObsIdentify,2022-05-21,Amerikaanse vogelkers,Prunus serotina,225,Plantae,,2.5651516,51.0793448,Belgium,Belgium,IAS,
242405113,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,228,Plantae,,2.572890043,51.09165192,Belgium,Belgium,IAS,
